STOCK EXCHANGE,EBIT,EBITDA,TOTAL EQUITY/TOTAL ASSETS,EPS,CASH/TOTAL CURRENT ASSETS,TOTAL CURRENT ASSET/TOTAL ASSET,LONG-TERM ASSETS/TOTAL ASSETS,QUICK RATIO,Market Value of Total Equity / Book Values of Total Liabilities,Sales/Total Assets,EBIT/Total Assets,Retain Earnings/Total Assets,Working Capitals/Total Asset,ROIC,TARGET,probabilities
1,3635930738.0,3939947577.0,35.89,448.24,4.29,58.45,41.55,0.38,1.9096131757593,0.154266231858328,6.8369679444861e-05,0.000151113401963041,0.000152090655653341,8.83,0,0.7309967
0,1600841.0,1822494.0,69.9,785.8,4.61,77.86,22.14,0.54,1.7702825360605,3.27921073833842,8.14181688495921e-05,0.000126101653040303,0.000477572312466503,6.93,0,0.7309967
1,313794649.0,430796052.0,37.23,1995.61,21.94,79.43,20.57,0.57,0.651337206987285,2.52077310237446,9.08528166196371e-05,0.000145139678979804,0.000169404014056797,6.9,0,0.7309967
1,471409362.0,886646442.0,74.41,1226.63,22.72,71.78,28.22,2.59,5.07849893003763,1.10697655556965,6.6027979266055e-05,0.000325060867449845,0.000479155520824978,6.27,0,0.7309967
0,17751241.0,33437694.0,50.12,536.44,10.33,72.21,27.79,0.69,0.441816399278779,1.19701869521926,4.82975698729715e-05,0.000135486744784823,0.000250596169603069,5.62,0,0.7309967
1,15325733.0,20134256.0,96.29,153.8,12.52,74.01,25.99,17.92,8.76506992883727,0.200455454483414,1.6738793080946e-05,5.06445310838023e-05,0.000704894383765262,1.3,0,0.7309967
1,1307221558.0,1479186286.0,82.63,12589.42,31.67,79.69,20.31,4.08,15.1044039786787,1.59751806544114,0.00040160405077323,0.000574355233774068,0.000629108800343226,38.4,0,0.7309967
0,93233585.0,108535353.0,43.14,1880.32,9.91,81.08,18.92,0.75,0.408285221984139,1.29343040902273,8.32541935031191e-05,0.00012501533971114,0.000247358111832337,8.43,0,0.7309967
0,3998531.0,4894566.0,50.18,550.86,1.54,99.2,0.8,1.69,0.383341034659012,1.21702670048669,2.13774336424303e-05,0.000274125943086696,0.000493804538159968,2.06,0,0.7309967
1,27143856.0,40837949.0,72.18,1370.93,12.82,67.92,32.08,1.51,1.853187509073,1.14338451251135,9.3403190966888e-05,0.000205378402898875,0.000401017310507149,8.41,0,0.7309967
1,78965406.0,133156426.0,82.35,595.5,18.67,45.03,54.97,4.42,3.7317444208687,0.539226688834194,5.4073281714369e-05,0.000404159693226386,0.000374269700801418,5.38,0,0.7309967
0,-12336663.0,197528522.0,36.25,-778.83,14.42,26.75,73.25,0.13,0.30475539690009,0.779031596484204,-3.52663297410925e-06,9.32681143375144e-06,-0.000322047001859848,-0.51,0,0.7309967
